Status Account,Months,Credit History,Purpose,Credit Amount,Savings,Employment,Installment Rate,Personal Status,Guarators,Residence,Property,Age,Other Installment,Housing,Credit Cards,Job,Dependents,Phone,Foreign Worker,Credit Rating
4,12,existing credits paid back duly till now,radio/television,1262,1,3,3,male (single),none,2,car or other,25,none,own,1,skilled-employee,1,none,yes,Good
4,18,existing credits paid back duly till now,car (used),3378,5,3,2,male (single),none,1,life insurance,31,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,36,delay in paying off in the past,car (new),2225,1,5,4,male (single),none,4,no property,57,bank,for free,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,6,all credits at this bank paid back duly,car (new),783,5,3,1,male (single),guarator,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,Good
2,12,existing credits paid back duly till now,radio/television,6468,5,1,2,male (single),none,1,no property,52,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,36,critical account,radio/television,9566,1,3,2,female (divorce),none,2,car or other,31,stores,own,2,skilled-employee,1,none,yes,Good
3,18,existing credits paid back duly till now,car (new),1961,1,5,3,female (divorce),none,2,car or other,23,none,own,1,highly qualified employee,1,none,yes,Good
1,36,critical account,furniture/equipment,6229,1,2,4,female (divorce),co-applicant,4,no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
2,9,existing credits paid back duly till now,business,1391,1,3,2,male (married),none,1,real estate,27,bank,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,15,critical account,radio/television,1537,5,5,4,male (single),guarator,4,real estate,50,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,36,no credits taken/ all credits paid back duly,business,1953,1,5,4,male (single),none,4,no property,61,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
2,48,no credits taken/ all credits paid back duly,business,14421,1,3,2,male (single),none,2,car or other,25,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,24,existing credits paid back duly till now,radio/television,3181,1,2,4,female (divorce),none,4,life insurance,26,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,27,existing credits paid back duly till now,repairs,5190,5,5,4,male (single),none,4,life insurance,48,none,own,4,skilled-employee,2,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,radio/television,2171,1,2,2,female (divorce),none,2,car or other,29,bank,own,1,skilled-employee,1,none,yes,Good
2,12,existing credits paid back duly till now,car (new),1007,4,3,4,male (married),none,1,real estate,22,none,own,1,skilled-employee,1,none,yes,Good
4,36,existing credits paid back duly till now,education,1819,1,3,4,male (single),none,4,no property,37,stores,for free,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,36,existing credits paid back duly till now,radio/television,2394,5,3,4,female (divorce),none,4,car or other,25,none,own,1,skilled-employee,1,none,yes,Good
4,36,existing credits paid back duly till now,car (used),8133,1,3,1,female (divorce),none,2,life insurance,30,bank,own,1,skilled-employee,1,none,yes,Good
4,7,critical account,radio/television,730,5,5,4,male (single),none,2,life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,Good
1,8,critical account,car (used)0,1164,1,5,3,male (single),none,4,no property,51,bank,for free,2,highly qualified employee,2,"yes, registered under the customers name",yes,Good
2,42,critical account,business,5954,1,4,2,female (divorce),none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,Good
1,36,existing credits paid back duly till now,education,1977,5,5,4,male (single),none,4,no property,40,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,12,critical account,car (used),1526,1,5,4,male (single),none,4,no property,66,none,for free,2,highly qualified employee,1,none,yes,Good
1,42,existing credits paid back duly till now,radio/television,3965,1,2,4,male (single),none,3,car or other,34,none,own,1,skilled-employee,1,none,yes,Bad
2,11,delay in paying off in the past,radio/television,4771,1,4,2,male (single),none,4,life insurance,51,none,own,1,skilled-employee,1,none,yes,Good
4,54,no credits taken/ all credits paid back duly,car (used),9436,5,3,2,male (single),none,2,life insurance,39,none,own,1,unskilled - resident,2,none,yes,Good
2,30,existing credits paid back duly till now,furniture/equipment,3832,1,2,2,male (married),none,1,life insurance,22,none,own,1,skilled-employee,1,none,yes,Good
4,24,existing credits paid back duly till now,radio/television,5943,5,2,1,female (divorce),none,1,car or other,44,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,15,existing credits paid back duly till now,radio/television,1213,3,5,4,male (single),none,3,life insurance,47,stores,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,18,existing credits paid back duly till now,business,1568,2,3,3,female (divorce),none,4,life insurance,24,none,rent,1,unskilled - resident,1,none,yes,Good
1,24,existing credits paid back duly till now,car (used)0,1755,1,5,4,female (divorce),guarator,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
1,10,existing credits paid back duly till now,radio/television,2315,1,5,3,male (single),none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,Good
4,12,critical account,business,1412,1,3,4,female (divorce),guarator,2,real estate,29,none,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,18,critical account,furniture/equipment,1295,1,2,4,female (divorce),none,1,life insurance,27,none,own,2,skilled-employee,1,none,yes,Good
2,36,existing credits paid back duly till now,education,12612,2,3,1,male (single),none,4,no property,47,none,for free,1,skilled-employee,2,"yes, registered under the customers name",yes,Bad
1,18,existing credits paid back duly till now,car (new),2249,2,4,4,male (single),none,3,car or other,30,none,own,1,highly qualified employee,2,"yes, registered under the customers name",yes,Good
1,12,no credits taken/ all credits paid back duly,repairs,1108,1,4,4,male (single),none,3,real estate,28,none,own,2,skilled-employee,1,none,yes,Bad
4,12,critical account,radio/television,618,1,5,4,male (single),none,4,real estate,56,none,own,1,skilled-employee,1,none,yes,Good
1,12,critical account,car (used),1409,1,5,4,male (single),none,3,real estate,54,none,own,1,skilled-employee,1,none,yes,Good
4,12,critical account,radio/television,797,5,5,4,female (divorce),none,3,life insurance,33,bank,own,1,unskilled - resident,2,none,yes,Bad
3,24,critical account,furniture/equipment,3617,5,5,4,male (single),co-applicant,4,no property,20,none,rent,2,skilled-employee,1,none,yes,Good
2,12,existing credits paid back duly till now,car (new),1318,4,5,4,male (single),none,4,real estate,54,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,54,no credits taken/ all credits paid back duly,business,15945,1,2,3,male (single),none,4,no property,58,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,12,critical account,education,2012,5,4,4,female (divorce),none,2,car or other,61,none,own,1,skilled-employee,1,none,yes,Good
2,18,existing credits paid back duly till now,business,2622,2,3,4,male (single),none,4,car or other,34,none,own,1,skilled-employee,1,none,yes,Good
2,36,critical account,radio/television,2337,1,5,4,male (single),none,4,real estate,36,none,own,1,skilled-employee,1,none,yes,Good
2,20,delay in paying off in the past,car (used),7057,5,4,3,male (single),none,4,life insurance,36,bank,rent,2,highly qualified employee,2,"yes, registered under the customers name",yes,Good
4,24,existing credits paid back duly till now,car (new),1469,2,5,4,male (married),none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,Good
2,36,existing credits paid back duly till now,radio/television,2323,1,4,4,male (single),none,4,car or other,24,none,rent,1,skilled-employee,1,none,yes,Good
4,6,delay in paying off in the past,radio/television,932,1,3,3,female (divorce),none,2,real estate,24,none,own,1,skilled-employee,1,none,yes,Good
2,9,critical account,furniture/equipment,1919,1,4,4,male (single),none,3,car or other,35,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,car (used),2445,5,2,2,male (married),none,4,car or other,26,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,24,critical account,car (used)0,11938,1,3,2,male (single),co-applicant,3,car or other,39,none,own,2,highly qualified employee,2,"yes, registered under the customers name",yes,Bad
4,18,all credits at this bank paid back duly,car (new),6458,1,5,2,male (single),none,4,no property,39,bank,own,2,highly qualified employee,2,"yes, registered under the customers name",yes,Bad
2,12,existing credits paid back duly till now,car (new),6078,1,4,2,male (single),none,2,car or other,32,none,own,1,skilled-employee,1,none,yes,Good
1,24,existing credits paid back duly till now,furniture/equipment,7721,5,2,1,female (divorce),none,2,life insurance,30,none,own,1,skilled-employee,1,"yes, registered under the customers name",no,Good
2,14,existing credits paid back duly till now,business,1410,3,5,1,male (married),none,2,real estate,35,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,6,delay in paying off in the past,business,1449,2,5,1,male (divorce),none,2,car or other,31,bank,own,2,skilled-employee,2,none,yes,Good
3,15,existing credits paid back duly till now,education,392,1,2,4,female (divorce),none,4,life insurance,23,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,existing credits paid back duly till now,car (new),6260,1,4,3,male (single),none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,Good
4,36,critical account,car (new),7855,1,3,4,female (divorce),none,2,real estate,25,stores,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
1,12,existing credits paid back duly till now,radio/television,1680,3,5,3,male (married),none,1,real estate,35,none,own,1,skilled-employee,1,none,yes,Good
4,48,critical account,radio/television,3578,5,5,4,male (single),none,1,real estate,47,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,42,existing credits paid back duly till now,radio/television,7174,5,4,4,female (divorce),none,3,car or other,30,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,10,critical account,furniture/equipment,2132,5,2,2,female (divorce),co-applicant,3,real estate,27,none,rent,2,skilled-employee,1,none,no,Good
1,33,critical account,furniture/equipment,4281,3,3,1,female (divorce),none,4,car or other,23,none,own,2,skilled-employee,1,none,yes,Bad
2,12,critical account,car (new),2366,3,4,3,male (divorce),none,3,car or other,36,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,21,existing credits paid back duly till now,radio/television,1835,1,3,3,female (divorce),none,2,real estate,25,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,24,critical account,car (used),3868,1,5,4,female (divorce),none,2,car or other,41,none,rent,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,furniture/equipment,1768,1,3,3,male (single),none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,Good
3,10,critical account,car (new),781,1,5,4,male (single),none,4,no property,63,none,for free,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,existing credits paid back duly till now,furniture/equipment,1924,5,2,4,female (divorce),none,3,real estate,27,none,rent,1,skilled-employee,1,none,yes,Bad
1,12,critical account,car (new),2121,1,3,4,male (single),none,2,life insurance,30,none,own,2,skilled-employee,1,none,yes,Good
1,12,existing credits paid back duly till now,radio/television,701,1,3,4,male (married),none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,Good
2,12,existing credits paid back duly till now,repairs,639,1,3,4,male (single),none,2,car or other,30,none,own,1,skilled-employee,1,none,yes,Bad
2,12,critical account,car (used),1860,1,1,4,male (single),none,2,car or other,34,none,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,12,critical account,car (new),3499,1,3,3,female (divorce),co-applicant,2,real estate,29,none,own,2,skilled-employee,1,none,yes,Bad
2,48,existing credits paid back duly till now,car (new),8487,5,4,1,female (divorce),none,2,car or other,24,none,own,1,skilled-employee,1,none,yes,Good
1,36,delay in paying off in the past,education,6887,1,3,4,male (single),none,3,life insurance,29,stores,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,15,existing credits paid back duly till now,furniture/equipment,2708,1,2,2,male (single),none,3,life insurance,27,bank,own,2,unskilled - resident,1,none,yes,Good
4,18,existing credits paid back duly till now,furniture/equipment,1984,1,3,4,male (single),none,4,no property,47,bank,for free,2,skilled-employee,1,none,yes,Good
4,60,existing credits paid back duly till now,radio/television,10144,2,4,2,female (divorce),none,4,real estate,21,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,critical account,radio/television,1240,5,5,4,female (divorce),none,2,real estate,38,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,27,delay in paying off in the past,car (used),8613,4,3,2,male (single),none,2,car or other,27,none,own,2,skilled-employee,1,none,yes,Good
2,12,existing credits paid back duly till now,radio/television,766,3,3,4,male (single),none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,Bad
2,15,critical account,radio/television,2728,5,4,4,male (single),guarator,2,real estate,35,bank,own,3,skilled-employee,1,"yes, registered under the customers name",yes,Good
3,12,existing credits paid back duly till now,radio/television,1881,1,3,2,female (divorce),none,2,car or other,44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
3,6,existing credits paid back duly till now,car (new),709,4,2,2,male (married),none,2,real estate,27,none,own,1,unskilled - non-resident,1,none,no,Good
2,36,existing credits paid back duly till now,radio/television,4795,1,2,4,female (divorce),none,1,no property,30,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,27,existing credits paid back duly till now,radio/television,3416,1,3,3,male (single),none,2,car or other,27,none,own,1,highly qualified employee,1,none,yes,Good
1,18,existing credits paid back duly till now,furniture/equipment,2462,1,3,2,male (single),none,2,car or other,22,none,own,1,skilled-employee,1,none,yes,Bad
4,21,critical account,furniture/equipment,2288,1,2,4,female (divorce),none,4,life insurance,23,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,48,all credits at this bank paid back duly,business,3566,2,4,4,male (single),none,2,car or other,30,none,own,1,skilled-employee,1,none,yes,Good
1,6,critical account,car (new),860,1,5,1,female (divorce),none,4,no property,39,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,critical account,car (new),682,2,4,4,female (divorce),none,3,car or other,51,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,36,critical account,furniture/equipment,5371,1,3,3,male (single),guarator,2,life insurance,28,none,own,2,skilled-employee,1,none,yes,Good
4,18,critical account,radio/television,1582,4,5,4,male (single),none,4,car or other,46,none,own,2,skilled-employee,1,none,yes,Good
4,6,existing credits paid back duly till now,radio/television,1346,2,5,2,male (single),none,4,no property,42,bank,for free,1,skilled-employee,2,"yes, registered under the customers name",yes,Good
4,10,existing credits paid back duly till now,radio/television,1924,1,3,1,male (single),none,4,life insurance,38,none,own,1,skilled-employee,1,"yes, registered under the customers name",no,Good
3,36,existing credits paid back duly till now,radio/television,5848,1,3,4,male (single),none,1,car or other,24,none,own,1,skilled-employee,1,none,yes,Good
2,24,critical account,car (used),7758,4,5,2,female (divorce),none,4,no property,29,none,rent,1,skilled-employee,1,none,yes,Good
2,24,delay in paying off in the past,business,6967,2,4,4,male (single),none,4,car or other,36,none,rent,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,12,existing credits paid back duly till now,furniture/equipment,1282,1,3,2,female (divorce),none,4,car or other,20,none,rent,1,skilled-employee,1,none,yes,Bad
1,9,critical account,repairs,1288,2,5,3,male (single),guarator,4,real estate,48,none,own,2,skilled-employee,2,none,no,Good
1,12,all credits at this bank paid back duly,retraining,339,1,5,4,male (married),none,1,car or other,45,bank,own,1,unskilled - resident,1,none,yes,Good
2,24,existing credits paid back duly till now,car (new),3512,2,4,2,male (single),none,3,car or other,38,bank,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,6,critical account,radio/television,1898,5,3,1,male (single),none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,Good
4,24,critical account,radio/television,2872,2,5,3,male (single),none,4,real estate,36,none,own,1,skilled-employee,2,"yes, registered under the customers name",yes,Good
4,18,critical account,car (new),1055,1,2,4,female (divorce),none,1,life insurance,30,none,own,2,skilled-employee,1,none,yes,Good
4,15,existing credits paid back duly till now,domestic appliances,1262,3,4,4,male (single),none,3,life insurance,36,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,10,existing credits paid back duly till now,car (new),7308,1,1,2,male (single),none,4,no property,70,bank,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,36,existing credits paid back duly till now,car (new),909,3,5,4,male (single),none,4,life insurance,36,none,own,1,skilled-employee,1,none,yes,Good
4,6,existing credits paid back duly till now,furniture/equipment,2978,3,3,1,male (single),none,2,car or other,32,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,18,existing credits paid back duly till now,furniture/equipment,1131,1,1,4,female (divorce),none,2,car or other,33,none,own,1,skilled-employee,1,none,yes,Bad
2,11,existing credits paid back duly till now,furniture/equipment,1577,4,2,4,female (divorce),none,1,real estate,20,none,own,1,skilled-employee,1,none,yes,Good
4,24,existing credits paid back duly till now,furniture/equipment,3972,1,4,2,female (divorce),none,4,life insurance,25,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,24,critical account,business,1935,1,5,4,male (divorce),none,4,real estate,31,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
1,15,no credits taken/ all credits paid back duly,car (new),950,1,5,4,male (single),none,3,car or other,33,none,rent,2,skilled-employee,2,none,yes,Bad
4,12,existing credits paid back duly till now,furniture/equipment,763,1,3,4,female (divorce),none,1,real estate,26,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,24,delay in paying off in the past,furniture/equipment,2064,1,1,3,female (divorce),none,2,life insurance,34,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
2,8,existing credits paid back duly till now,radio/television,1414,1,3,4,male (single),guarator,2,real estate,33,none,own,1,skilled-employee,1,none,no,Good
1,21,delay in paying off in the past,education,3414,1,2,2,male (single),none,1,life insurance,26,none,own,2,skilled-employee,1,none,yes,Bad
4,30,all credits at this bank paid back duly,car (used),7485,5,1,4,female (divorce),none,1,real estate,53,bank,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,12,existing credits paid back duly till now,furniture/equipment,2577,1,3,2,male (divorce),none,1,car or other,42,none,own,1,skilled-employee,1,none,yes,Good
1,6,critical account,radio/television,338,3,5,4,male (single),none,4,car or other,52,none,own,2,skilled-employee,1,none,yes,Good
4,12,existing credits paid back duly till now,radio/television,1963,1,4,4,male (single),none,2,car or other,31,none,rent,2,highly qualified employee,2,"yes, registered under the customers name",yes,Good
1,21,critical account,car (new),571,1,5,4,male (single),none,4,real estate,65,none,own,2,skilled-employee,1,none,yes,Good
4,36,delay in paying off in the past,business,9572,1,2,1,male (divorce),none,1,car or other,28,none,own,2,skilled-employee,1,none,yes,Bad
2,36,delay in paying off in the past,business,4455,1,3,2,male (divorce),none,2,real estate,30,stores,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,21,all credits at this bank paid back duly,car (new),1647,5,3,4,male (single),none,2,life insurance,40,none,own,2,unskilled - resident,2,none,yes,Bad
4,24,critical account,furniture/equipment,3777,4,3,4,male (single),none,4,real estate,50,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,critical account,car (new),884,1,5,4,male (single),none,4,car or other,36,bank,own,1,skilled-employee,2,"yes, registered under the customers name",yes,Bad
4,15,critical account,radio/television,1360,1,3,4,male (single),none,2,life insurance,31,none,own,2,skilled-employee,1,none,yes,Good
2,9,all credits at this bank paid back duly,car (used),5129,1,5,2,female (divorce),none,4,no property,74,bank,for free,1,highly qualified employee,2,"yes, registered under the customers name",yes,Bad
2,16,critical account,car (new),1175,1,1,2,male (single),none,3,car or other,68,none,for free,3,unskilled - non-resident,1,"yes, registered under the customers name",yes,Good
1,12,existing credits paid back duly till now,radio/television,674,2,4,4,male (married),none,1,life insurance,20,none,own,1,skilled-employee,1,none,yes,Bad
2,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,1,3,1,female (divorce),none,4,car or other,33,bank,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,24,existing credits paid back duly till now,business,4591,4,3,2,male (single),none,3,life insurance,54,none,own,3,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
2,48,no credits taken/ all credits paid back duly,business,3844,2,4,4,male (single),none,4,no property,34,none,for free,1,unskilled - resident,2,none,yes,Bad
2,27,existing credits paid back duly till now,business,3915,1,3,4,male (single),none,2,car or other,36,none,own,1,skilled-employee,2,"yes, registered under the customers name",yes,Bad
4,6,existing credits paid back duly till now,radio/television,2108,1,4,2,male (married),none,2,real estate,29,none,rent,1,skilled-employee,1,none,yes,Good
2,45,existing credits paid back duly till now,radio/television,3031,2,3,4,male (single),guarator,4,life insurance,21,none,rent,1,skilled-employee,1,none,yes,Bad
